City,Model Name,Description,Amount,MI Disocount,Exchange,Total Benifit 
Mumbai,CIAZ,CIAZ  Petrol,15000,0,30000,45000
Mumbai,CIAZ,CIAZ Diesel,10000,0,40000,50000
